%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1640776798601975183,0,1020.0,688.0,1021.0,794.0
1640776798714220026,0,1023.0,686.0,1022.0,794.0
1640776798810806059,0,1023.0,686.0,1023.0,792.0
1640776798906171494,0,1021.0,687.0,1020.0,794.0
1640776799017535896,0,1023.0,685.0,1023.0,793.0
1640776799113583495,0,1023.0,688.0,1023.0,793.0
1640776799210244291,0,1023.0,687.0,1022.0,793.0
1640776799321022675,0,1023.0,687.0,1023.0,793.0
1640776799417197870,0,1023.0,687.0,1023.0,793.0
1640776799514726250,0,1020.0,689.0,1020.0,794.0
1640776799624712361,0,1023.0,688.0,1021.0,798.0
1640776799721038793,0,1023.0,685.0,1023.0,794.0
1640776799816661378,0,1022.0,688.0,1023.0,800.0
1640776799928260025,0,1021.0,688.0,1023.0,801.0
1640776800024821881,0,1023.0,688.0,1023.0,805.0
1640776800121002617,0,1023.0,686.0,1023.0,804.0
1640776800232101056,0,1021.0,689.0,1023.0,800.0
1640776800328851990,0,1020.0,692.0,1023.0,810.0
1640776800424493792,0,1023.0,689.0,1022.0,805.0
1640776800535569953,0,1023.0,688.0,1023.0,819.0
1640776800633139605,0,1022.0,690.0,1023.0,824.0
1640776800727906798,0,1022.0,690.0,1023.0,817.0
1640776800841284535,0,1021.0,692.0,1022.0,807.0
1640776800935497384,0,1023.0,689.0,1021.0,832.0
1640776801047233225,0,1023.0,689.0,1023.0,845.0
1640776801142935491,0,1021.0,690.0,1023.0,842.0
1640776801241675229,0,1021.0,690.0,1023.0,826.0
1640776801355567690,0,1023.0,689.0,1023.0,830.0
1640776801446560607,0,1023.0,688.0,1023.0,800.0
1640776801542347490,0,1021.0,691.0,1022.0,809.0
1640776801654167003,0,1023.0,689.0,1023.0,829.0
1640776801751041221,0,1023.0,689.0,1023.0,815.0
1640776801846877390,0,1023.0,689.0,1023.0,831.0
1640776801957673681,0,1023.0,690.0,1023.0,848.0
1640776802054598816,0,1023.0,690.0,1023.0,839.0
1640776802149745634,0,1023.0,688.0,1023.0,822.0
1640776802261334536,0,1023.0,690.0,1023.0,822.0
1640776802358030636,0,1023.0,691.0,1022.0,849.0
1640776802454137584,0,1023.0,688.0,1023.0,816.0
1640776802564898762,0,1023.0,690.0,1023.0,844.0
1640776802661783515,0,1020.0,691.0,1023.0,835.0
1640776802756951265,0,1023.0,690.0,1023.0,829.0
1640776802868530493,0,1023.0,688.0,1023.0,817.0
1640776802965876281,0,1023.0,690.0,1023.0,837.0
1640776803061491330,0,1022.0,691.0,1021.0,833.0
1640776803172185188,0,1023.0,687.0,1023.0,844.0
1640776803268259079,0,1023.0,690.0,1023.0,821.0
1640776803364211948,0,1023.0,689.0,1023.0,823.0
1640776803475707459,0,1023.0,692.0,1023.0,837.0
1640776803576474770,0,1023.0,690.0,1023.0,838.0
1640776803667609826,0,1023.0,688.0,1023.0,801.0
1640776803779330691,0,1020.0,692.0,1021.0,832.0
1640776803875674196,0,1023.0,689.0,1023.0,818.0
1640776803972409113,0,1021.0,690.0,1023.0,816.0
1640776804082956664,0,1022.0,691.0,1021.0,814.0
1640776804179374891,0,1023.0,689.0,1023.0,799.0
1640776804290707393,0,1020.0,688.0,1023.0,792.0
1640776804386703993,0,1023.0,690.0,1021.0,793.0
1640776804482640952,0,1023.0,688.0,1023.0,791.0
1640776804594378899,0,1020.0,690.0,1023.0,793.0
1640776804690798087,0,1023.0,690.0,1023.0,794.0
1640776804788768761,0,1023.0,687.0,1023.0,792.0
1640776804897842588,0,1023.0,688.0,1023.0,792.0
1640776804994579970,0,1023.0,690.0,1023.0,793.0
1640776805090380040,0,1023.0,688.0,1023.0,794.0
1640776805201707819,0,1021.0,689.0,1023.0,792.0
1640776805298583320,0,1023.0,690.0,1021.0,793.0
1640776805394446558,0,1023.0,689.0,1023.0,794.0
1640776805505132693,0,1023.0,687.0,1023.0,792.0
1640776805602272191,0,1021.0,692.0,1023.0,795.0
1640776805699646426,0,1023.0,688.0,1023.0,795.0
1640776805808835703,0,1023.0,689.0,1023.0,794.0
1640776805905293970,0,1023.0,688.0,1023.0,793.0
1640776806001580161,0,1021.0,691.0,1022.0,794.0
1640776806114355614,0,1023.0,691.0,1023.0,796.0
1640776806209195781,0,1023.0,688.0,1023.0,792.0
1640776806304407297,0,1022.0,689.0,1023.0,793.0
1640776806416212988,0,1023.0,689.0,1023.0,796.0
1640776806514442142,0,1023.0,689.0,1023.0,794.0
1640776806608308920,0,1023.0,687.0,1023.0,791.0
1640776806719760495,0,1018.0,692.0,1022.0,793.0
1640776806815957214,0,1023.0,689.0,1022.0,792.0
1640776806912764849,0,1023.0,688.0,1023.0,793.0
1640776807023347210,0,1021.0,689.0,1023.0,791.0
1640776807120442475,0,1021.0,691.0,1023.0,792.0
1640776807216264847,0,1023.0,690.0,1022.0,793.0
1640776807327533065,0,1023.0,687.0,1023.0,792.0
1640776807423635819,0,1023.0,688.0,1023.0,792.0
1640776807519489775,0,1023.0,692.0,1022.0,793.0
1640776807630968714,0,1023.0,689.0,1022.0,794.0
1640776807727107401,0,1023.0,687.0,1023.0,793.0
1640776807838451250,0,1022.0,688.0,1023.0,792.0
1640776807934424056,0,1023.0,689.0,1023.0,794.0
1640776808032187367,0,1023.0,687.0,1023.0,794.0
1640776808142201549,0,1021.0,688.0,1023.0,792.0
1640776808241156620,0,1023.0,689.0,1022.0,794.0
1640776808334160932,0,1022.0,690.0,1021.0,794.0
1640776808445915806,0,1023.0,688.0,1023.0,795.0
1640776808542361901,0,1023.0,687.0,1023.0,794.0
1640776808637848842,0,1023.0,688.0,1023.0,793.0
1640776808751850048,0,1022.0,690.0,1021.0,794.0
1640776808845878406,0,1023.0,689.0,1021.0,796.0
1640776808941675153,0,1023.0,686.0,1023.0,794.0
1640776809052913620,0,1022.0,688.0,1023.0,792.0
1640776809149996982,0,1021.0,689.0,1020.0,795.0
1640776809245322843,0,1023.0,687.0,1023.0,794.0
1640776809356672042,0,1023.0,688.0,1023.0,792.0
1640776809453213853,0,1023.0,690.0,1023.0,794.0
1640776809550895860,0,1023.0,687.0,1023.0,794.0
1640776809662092730,0,1023.0,687.0,1023.0,790.0
1640776809757025978,0,1022.0,693.0,1020.0,793.0
1640776809852218054,0,1023.0,690.0,1020.0,793.0
1640776809963920416,0,1023.0,688.0,1023.0,793.0
1640776810060092980,0,1023.0,687.0,1023.0,792.0
1640776810156637970,0,1023.0,688.0,1023.0,792.0
1640776810267455086,0,1021.0,691.0,1023.0,792.0
1640776810364114681,0,1022.0,689.0,1021.0,794.0
1640776810460460797,0,1023.0,688.0,1023.0,793.0
1640776810571294642,0,1023.0,687.0,1023.0,792.0
1640776810667448843,0,1023.0,686.0,1023.0,793.0
1640776810778987280,0,1021.0,688.0,1023.0,792.0
1640776810874984705,0,1023.0,687.0,1023.0,793.0
1640776810971446351,0,1023.0,687.0,1023.0,792.0
1640776811082734675,0,1022.0,687.0,1023.0,790.0
1640776811179388572,0,1020.0,690.0,1023.0,792.0
1640776811275228947,0,1023.0,690.0,1020.0,793.0
1640776811386141378,0,1023.0,687.0,1023.0,790.0
1640776811482917978,0,1023.0,687.0,1023.0,789.0
1640776811578844033,0,1022.0,687.0,1023.0,790.0
1640776811691454258,0,1022.0,689.0,1023.0,791.0
1640776811786525488,0,1023.0,688.0,1023.0,794.0
1640776811882476747,0,1023.0,686.0,1023.0,806.0
1640776811993552089,0,1023.0,689.0,1023.0,825.0
1640776812090346818,0,1020.0,691.0,1021.0,811.0
1640776812185929639,0,1023.0,690.0,1020.0,826.0
1640776812297548675,0,1023.0,689.0,1023.0,822.0
1640776812393735383,0,1023.0,689.0,1023.0,821.0
1640776812489892530,0,1023.0,689.0,1023.0,819.0
1640776812601413959,0,1019.0,693.0,1023.0,811.0
1640776812697144204,0,1023.0,693.0,1021.0,812.0
1640776812792942717,0,1023.0,690.0,1023.0,793.0
1640776812904327716,0,1023.0,691.0,1023.0,815.0
1640776813000640508,0,1020.0,693.0,1023.0,816.0
1640776813096721514,0,1023.0,692.0,1022.0,824.0
1640776813208020613,0,1023.0,691.0,1023.0,811.0
1640776813305872840,0,1019.0,695.0,1021.0,848.0
1640776813400821974,0,1022.0,692.0,1023.0,813.0
1640776813511777499,0,1019.0,696.0,1022.0,809.0
1640776813607824276,0,1022.0,693.0,1020.0,812.0
1640776813703997045,0,1023.0,694.0,1022.0,815.0
1640776813815348814,0,1023.0,692.0,1023.0,826.0
1640776813912433746,0,1023.0,693.0,1023.0,823.0
1640776814008083290,0,1020.0,695.0,1020.0,829.0
1640776814119094004,0,1023.0,694.0,1023.0,824.0
1640776814215233837,0,1023.0,691.0,1023.0,848.0
1640776814326661909,0,1022.0,694.0,1023.0,855.0
1640776814422565379,0,1021.0,695.0,1022.0,853.0
1640776814518743423,0,1023.0,694.0,1023.0,830.0
1640776814634146154,0,1023.0,693.0,1023.0,831.0
1640776814727991565,0,1021.0,693.0,1023.0,842.0
1640776814822327594,0,1020.0,696.0,1022.0,856.0
1640776814933894789,0,1023.0,693.0,1022.0,861.0
1640776815030961325,0,1023.0,691.0,1023.0,842.0
1640776815126373805,0,1020.0,696.0,1022.0,832.0
1640776815237426528,0,1023.0,693.0,1023.0,826.0
1640776815333758424,0,1023.0,693.0,1023.0,837.0
1640776815431155058,0,1023.0,693.0,1023.0,842.0
1640776815541942291,0,1021.0,696.0,1022.0,846.0
1640776815637488882,0,1023.0,694.0,1022.0,852.0
1640776815734106814,0,1023.0,692.0,1023.0,839.0
1640776815844849535,0,1020.0,696.0,1023.0,842.0
1640776815941660711,0,1022.0,693.0,1023.0,844.0
1640776816042142813,0,1022.0,695.0,1023.0,841.0
1640776816148351931,0,1023.0,695.0,1023.0,864.0
1640776816245043323,0,1023.0,692.0,1023.0,856.0
1640776816340347282,0,1020.0,695.0,1023.0,867.0
1640776816451981410,0,1023.0,695.0,1023.0,854.0
1640776816549692028,0,1023.0,691.0,1023.0,860.0
1640776816643954985,0,1020.0,694.0,1023.0,846.0
1640776816755755611,0,1023.0,696.0,1023.0,853.0
1640776816852621687,0,1023.0,694.0,1023.0,853.0
1640776816948348451,0,1023.0,692.0,1023.0,861.0
1640776817059396550,0,1023.0,693.0,1023.0,847.0
1640776817155857753,0,1023.0,696.0,1019.0,846.0
1640776817251353461,0,1023.0,694.0,1023.0,850.0
1640776817363077585,0,1023.0,694.0,1023.0,852.0
1640776817459525420,0,1021.0,693.0,1023.0,856.0
1640776817570522755,0,1023.0,694.0,1023.0,855.0
1640776817666699458,0,1023.0,692.0,1023.0,844.0
1640776817763325357,0,1021.0,693.0,1023.0,848.0
1640776817874254990,0,1022.0,695.0,1021.0,853.0
1640776817970912335,0,1023.0,693.0,1023.0,852.0
1640776818066324643,0,1023.0,693.0,1023.0,849.0
1640776818177973460,0,1022.0,696.0,1023.0,854.0
1640776818276649870,0,1023.0,694.0,1023.0,849.0
1640776818371030172,0,1023.0,693.0,1023.0,830.0
1640776818481495232,0,1023.0,694.0,1023.0,835.0
1640776818578517089,0,1023.0,692.0,1023.0,825.0
1640776818674268899,0,1023.0,693.0,1023.0,823.0
1640776818785120038,0,1022.0,695.0,1021.0,828.0
1640776818881465635,0,1023.0,694.0,1023.0,840.0
1640776818977478817,0,1023.0,692.0,1023.0,837.0
1640776819091542206,0,1022.0,693.0,1023.0,832.0
1640776819185365071,0,1023.0,695.0,1021.0,839.0
1640776819281631366,0,1023.0,693.0,1023.0,837.0
1640776819392555924,0,1023.0,693.0,1023.0,830.0
1640776819488698160,0,1019.0,695.0,1022.0,830.0
1640776819585267776,0,1023.0,696.0,1022.0,835.0
1640776819696194998,0,1023.0,693.0,1023.0,847.0
1640776819793253625,0,1023.0,693.0,1023.0,848.0
1640776819891543502,0,1023.0,693.0,1023.0,855.0
1640776819999825136,0,1021.0,696.0,1020.0,857.0
1640776820095908072,0,1022.0,696.0,1020.0,860.0
1640776820192700736,0,1023.0,694.0,1023.0,854.0
1640776820303454599,0,1023.0,693.0,1023.0,843.0
1640776820400138652,0,1023.0,693.0,1023.0,841.0
1640776820495707542,0,1023.0,693.0,1023.0,851.0
1640776820607098332,0,1023.0,694.0,1023.0,851.0
1640776820703288386,0,1020.0,695.0,1023.0,850.0
1640776820799424896,0,1022.0,694.0,1022.0,855.0
1640776820911895554,0,1023.0,691.0,1023.0,852.0
1640776821007151356,0,1023.0,695.0,1023.0,845.0
1640776821118303425,0,1023.0,693.0,1023.0,845.0
1640776821215423446,0,1023.0,693.0,1023.0,844.0
1640776821310993784,0,1022.0,693.0,1023.0,834.0
1640776821422332596,0,1023.0,695.0,1021.0,838.0
1640776821518567436,0,1023.0,693.0,1023.0,847.0
1640776821614035187,0,1023.0,692.0,1023.0,847.0
